id,gender,grade,Teacher,race,hispanic,disability,age_months,iq_1_nonverb,
881,1,0,1108,5,1,1,69,119,
882,1,0,1108,5,1,1,65,97,
883,0,0,1108,5,1,1,70,122,
884,0,0,1108,5,1,1,72,107,
885,1,0,1108,5,0,1,72,95,
933,1,0,205,5,0,10,69,117,
934,1,0,205,5,1,1,71,119,
935,0,0,205,5,0,1,71,117,
936,1,0,205,3,1,1,60,105,
937,1,0,205,3,0,1,62,119,
938,0,0,205,5,0,1,68,117,
939,1,0,205,14,0,1,62,,
940,1,0,205,5,0,1,70,126,
941,0,0,205,5,0,1,61,,
942,1,0,205,14,0,1,64,133,
943,1,0,205,5,0,1,72,118,
944,0,0,205,5,0,1,72,112,
945,1,0,205,5,1,1,62,117,
946,0,0,205,5,1,1,68,100,
947,1,0,205,5,0,1,76,107,
948,0,0,205,16,0,10,69,125,
949,0,0,205,5,1,1,65,101,
950,0,0,205,5,0,1,61,108,
951,1,0,205,1,1,1,75,,
952,0,0,206,5,0,10,69,66,
953,0,0,206,3,0,1,62,97,
954,1,0,206,5,1,1,70,124,
955,1,0,206,5,1,1,61,84,
956,1,0,206,5,1,1,61,105,
957,1,0,206,2,0,1,60,111,
958,1,0,206,5,0,10,66,103,
959,0,0,206,5,0,10,66,,
960,1,0,206,5,0,1,60,127,
961,1,0,206,5,0,1,64,123,
962,0,0,206,3,0,1,72,109,
963,0,0,206,5,0,16,63,117,
964,0,0,206,5,1,1,68,119,
965,1,0,206,5,1,1,71,114,
966,0,0,206,5,0,1,62,97,
967,0,0,206,5,0,1,64,119,
968,1,0,206,5,1,1,64,121,
969,0,0,206,5,0,1,77,,
970,1,0,206,5,1,1,79,,
971,0,0,207,5,0,1,67,106,
972,0,0,207,3,0,1,70,112,
973,1,0,207,3,0,1,64,97,
974,0,0,207,5,0,1,71,106,
975,1,0,207,5,0,1,69,136,
976,1,0,207,5,0,1,64,108,
977,1,0,207,5,0,1,72,95,
978,1,0,207,5,0,1,60,125,
979,0,0,207,5,0,1,70,119,
980,1,0,207,3,0,1,67,119,
981,1,0,207,5,0,1,73,126,
982,0,0,207,5,0,1,70,64,
983,0,0,207,5,0,1,64,108,
984,0,0,207,5,0,1,72,75,
985,1,0,207,5,0,1,69,126,
986,1,0,207,5,0,10,67,103,
987,1,0,207,5,0,10,63,101,
988,1,0,207,5,0,1,67,121,
989,0,0,207,5,0,1,70,,
990,1,0,207,5,1,1,79,,
991,0,0,208,5,0,1,66,117,
992,1,0,208,5,0,1,62,111,
993,1,0,208,3,0,1,60,124,
994,1,0,208,14,0,1,62,84,
995,0,0,208,5,0,1,70,122,
996,1,0,208,5,0,10,66,112,
997,0,0,208,3,0,1,69,100,
998,0,0,208,5,0,15,73,109,
999,0,0,208,3,0,1,66,96,
1000,1,0,208,5,0,1,62,114,
1001,1,0,208,5,0,1,62,125,
1002,0,0,208,5,0,1,70,117,
1003,1,0,208,5,0,1,61,123,
1004,1,0,208,3,0,1,71,128,
1005,0,0,208,5,0,1,66,103,
1006,1,0,208,3,0,10,67,117,
1007,0,0,208,5,0,1,60,114,
1008,1,0,208,3,0,1,71,112,
354,1,1,204,5,0,1,73,124,
355,1,1,204,16,0,1,81,125,
356,0,1,204,5,1,1,82,83,
357,0,1,204,3,0,1,72,112,
